phone_number,call_timestamp,call_duration_sec,call_frequency_24h,is_international,country_code,number_length,is_toll_free,is_premium_rate,sequential_digits,hour_of_day,is_weekend,country_mismatch,repeated_calls_same_number,label
+18666726730,2024-01-16 17:51:54,180,4,0,+1,11,1,0,0,17,0,0,2,legitimate
+19004313593,2024-01-29 15:49:12,2,11,0,+1,11,0,1,0,15,0,0,13,robocall
+12651111111,2024-07-09 05:15:22,4,9,0,+1,11,0,0,1,5,0,1,5,spoofed
+19761504718,2024-07-19 05:56:36,245,2,0,+1,11,0,1,0,5,0,0,2,legitimate
+17867846138,2024-08-11 11:09:07,6,8,0,+1,11,0,0,0,11,1,0,2,voip_fraud
+18663166980,2024-01-17 16:56:41,127,1,0,+1,11,1,0,0,16,0,0,0,premium_rate
+18773812671,2024-07-26 17:13:32,299,5,0,+1,11,1,0,0,17,0,0,2,legitimate
+19764523930,2024-04-05 04:50:01,676,2,0,+1,11,0,1,0,4,0,0,2,premium_rate
+13464752816,2024-12-04 15:24:02,10,8,0,+1,11,0,0,0,15,0,0,1,voip_fraud
+12126213387,2024-06-10 13:55:23,531,4,0,+1,11,0,0,0,13,0,0,1,legitimate
+12123710559,2024-03-25 02:32:42,126,4,0,+1,11,0,0,0,2,0,0,2,legitimate
+19768789179,2024-02-20 17:56:50,82,3,0,+1,11,0,1,0,17,0,0,2,legitimate
+16286590165,2024-09-12 22:44:04,2,19,0,+1,11,0,0,0,22,0,0,1,voip_fraud
+17132853259,2024-03-18 02:21:50,473,3,0,+1,11,0,0,0,2,0,0,2,legitimate
+16176776712,2024-02-08 10:29:27,4,31,0,+1,11,0,0,0,10,0,0,15,robocall
+19765801541,2024-04-27 19:51:22,254,2,0,+1,11,0,1,0,19,1,0,2,legitimate
+18887605473,2024-12-17 05:29:07,560,4,0,+1,11,1,0,0,5,0,0,1,legitimate
+913928236,2024-10-23 13:47:19,11,10,1,+91,9,0,0,0,13,0,1,17,spam
+11234567890,2024-01-07 19:40:46,4,2,0,+1,11,0,0,1,19,1,1,3,spoofed
+13770000000,2024-01-04 10:50:48,0,3,0,+1,11,0,0,1,10,0,1,11,spoofed
+19002232343,2024-03-07 03:38:24,1390,3,0,+1,11,0,1,0,3,0,0,1,premium_rate
+11234567890,2024-07-21 19:06:31,5,1,0,+1,11,0,0,1,19,1,1,7,spoofed
+12125999083,2024-01-05 22:02:13,2,35,0,+1,11,0,0,0,22,0,0,6,robocall
+17023511322,2024-12-22 20:51:06,320,1,0,+1,11,0,0,0,20,1,0,0,legitimate
+13128961969,2024-09-22 08:54:25,2,46,0,+1,11,0,0,0,8,1,0,15,robocall
+18664557877,2024-03-18 12:32:27,550,3,0,+1,11,1,0,0,12,0,0,0,legitimate
+627929605865,2024-04-29 02:17:43,14,9,1,+62,12,0,0,0,2,0,1,8,spam
+18004188178,2024-03-07 04:54:14,0,35,0,+1,11,1,0,0,4,0,0,4,robocall
+6685163578,2024-02-07 03:26:18,14,27,1,+66,10,0,0,0,3,0,1,8,spam
+18663419829,2024-10-03 21:37:20,36,5,0,+1,11,1,0,0,21,0,0,0,legitimate
+13466749017,2024-12-24 14:35:16,3,16,0,+1,11,0,0,0,14,0,0,0,voip_fraud
+16174427478,2024-02-23 15:01:53,547,4,0,+1,11,0,0,0,15,0,0,1,legitimate
+2342913112659,2024-12-20 14:19:24,2,9,1,+23,13,0,0,0,14,0,1,1,spam
+16174740036,2024-01-13 21:12:25,366,3,0,+1,11,0,0,0,21,1,0,0,legitimate
+13058159756,2024-03-08 00:51:34,57,3,0,+1,11,0,0,0,0,0,0,2,legitimate
+12026585409,2024-03-05 16:48:58,127,3,0,+1,11,0,0,0,16,0,0,1,legitimate
+19007183513,2024-08-04 09:39:04,409,4,0,+1,11,0,1,0,9,1,0,2,legitimate
+17134460833,2024-02-14 22:09:20,2,22,0,+1,11,0,0,0,22,0,0,5,robocall
+18884309872,2024-01-26 14:24:52,1175,1,0,+1,11,1,0,0,14,0,0,2,premium_rate
+19009584911,2024-06-08 04:04:28,41,2,0,+1,11,0,1,0,4,1,0,2,legitimate
+18005895147,2024-07-19 03:30:22,573,1,0,+1,11,1,0,0,3,0,0,2,legitimate
+14152833821,2024-01-23 02:58:18,457,1,0,+1,11,0,0,0,2,0,0,0,legitimate
+19007608108,2024-11-04 03:15:25,694,3,0,+1,11,0,1,0,3,0,0,1,premium_rate
+17021823520,2024-07-06 07:38:45,102,1,0,+1,11,0,0,0,7,1,0,0,legitimate
+19001207430,2024-12-24 19:37:33,459,1,0,+1,11,0,1,0,19,0,0,1,legitimate
+867234051,2024-07-09 10:34:46,10,23,1,+86,9,0,0,0,10,0,1,13,spam
+18666758968,2024-11-16 10:01:49,0,50,0,+1,11,1,0,0,10,1,0,18,robocall
+19001642832,2024-01-16 21:07:10,316,5,0,+1,11,0,1,0,21,0,0,0,legitimate
+14041362517,2024-10-21 13:36:51,75,4,0,+1,11,0,0,0,13,0,0,1,legitimate
+18885838692,2024-02-26 00:31:59,180,4,0,+1,11,1,0,0,0,0,0,2,legitimate
+18883077237,2024-01-25 20:07:28,335,5,0,+1,11,1,0,0,20,0,0,2,legitimate
+17135544781,2024-06-21 06:01:31,431,2,0,+1,11,0,0,0,6,0,0,1,legitimate
+15031689058,2024-05-01 10:01:28,6,43,0,+1,11,0,0,0,10,0,0,11,robocall
+666036323,2024-12-16 11:47:07,10,13,1,+66,9,0,0,0,11,0,1,5,spam
+18881973604,2024-09-10 14:22:48,2,27,0,+1,11,1,0,0,14,0,0,20,robocall
+12129397547,2024-08-06 21:03:40,6,38,0,+1,11,0,0,0,21,0,0,2,robocall
+18772794848,2024-06-15 17:41:04,339,5,0,+1,11,1,0,0,17,1,0,1,legitimate
+16178157024,2024-01-22 18:03:44,573,3,0,+1,11,0,0,0,18,0,0,2,legitimate
+17624127015,2024-05-14 18:06:18,8,2,0,+1,11,0,0,0,18,0,0,2,voip_fraud
+19769638823,2024-07-30 21:12:00,359,1,0,+1,11,0,1,0,21,0,0,2,legitimate
+19764058117,2024-03-10 02:45:49,498,1,0,+1,11,0,1,0,2,1,0,1,legitimate
+12127821919,2024-04-21 04:22:18,274,1,0,+1,11,0,0,0,4,1,0,0,legitimate
+12121874073,2024-11-24 20:11:40,484,2,0,+1,11,0,0,0,20,1,0,0,legitimate
+9986945684,2024-08-12 01:38:54,5,5,1,+99,10,0,0,0,1,0,1,19,spam
+19764666262,2024-10-21 21:52:34,564,5,0,+1,11,0,1,0,21,0,0,1,legitimate
+13055705988,2024-12-26 22:30:31,7,35,0,+1,11,0,0,0,22,0,0,8,robocall
+12025988439,2024-10-17 20:29:34,217,4,0,+1,11,0,0,0,20,0,0,1,legitimate
+18886262632,2024-08-11 19:32:07,424,5,0,+1,11,1,0,0,19,1,0,0,legitimate
+18002396638,2024-12-27 17:16:46,166,4,0,+1,11,1,0,0,17,0,0,2,legitimate
+17023468978,2024-04-02 15:13:55,442,2,0,+1,11,0,0,0,15,0,0,1,legitimate
+8551121435,2024-11-07 23:12:57,11,10,1,+85,10,0,0,0,23,0,1,18,spam
+18663968237,2024-04-06 11:24:39,188,5,0,+1,11,1,0,0,11,1,0,2,legitimate
+12028431175,2024-11-23 08:21:11,0,13,0,+1,11,0,0,0,8,1,0,2,voip_fraud
+13128587837,2024-04-24 18:01:25,267,4,0,+1,11,0,0,0,18,0,0,1,legitimate
+16282603001,2024-11-12 19:54:14,8,20,0,+1,11,0,0,0,19,0,0,0,voip_fraud
+13055113127,2024-10-02 13:58:35,492,1,0,+1,11,0,0,0,13,0,0,0,legitimate
+13328563582,2024-11-13 14:58:49,6,11,0,+1,11,0,0,0,14,0,0,2,voip_fraud
+998217456589,2024-12-20 17:34:17,5,28,1,+99,12,0,0,0,17,0,1,17,spam
+17027261504,2024-11-03 10:30:43,440,3,0,+1,11,0,0,0,10,1,0,0,legitimate
+14157576062,2024-09-28 05:44:03,146,2,0,+1,11,0,0,0,5,1,0,2,legitimate
+16692833944,2024-07-04 13:29:19,10,2,0,+1,11,0,0,0,13,0,0,2,voip_fraud
+12022218773,2024-11-14 21:10:27,8,43,0,+1,11,0,0,0,21,0,0,1,robocall
+13127404194,2024-10-11 16:02:45,81,3,0,+1,11,0,0,0,16,0,0,0,legitimate
+17131086930,2024-10-08 05:26:41,517,4,0,+1,11,0,0,0,5,0,0,2,legitimate
+12021923997,2024-04-09 14:58:00,8,15,0,+1,11,0,0,0,14,0,0,0,voip_fraud
+15039441248,2024-09-10 17:01:41,7,20,0,+1,11,0,0,0,17,0,0,15,robocall
+19769238811,2024-12-16 09:02:10,1,28,0,+1,11,0,1,0,9,0,0,15,robocall
+17135194357,2024-01-27 20:30:55,410,5,0,+1,11,0,0,0,20,1,0,0,legitimate
+19763998417,2024-07-08 17:35:30,289,3,0,+1,11,0,1,0,17,0,0,2,legitimate
+14156114026,2024-09-22 05:39:57,4,7,0,+1,11,0,0,0,5,1,0,15,robocall
+13052239596,2024-10-09 20:12:43,3,48,0,+1,11,0,0,0,20,0,0,7,robocall
+18776660802,2024-08-04 21:30:22,430,4,0,+1,11,1,0,0,21,1,0,0,legitimate
+17136750102,2024-09-07 11:48:12,198,4,0,+1,11,0,0,0,11,1,0,0,legitimate
+17137900296,2024-06-11 14:15:55,163,4,0,+1,11,0,0,0,14,0,0,1,legitimate
+10123456789,2024-10-17 22:54:47,3,6,0,+1,11,0,0,1,22,0,1,0,spoofed
+18777936404,2024-05-02 19:15:35,192,4,0,+1,11,1,0,0,19,0,0,1,legitimate
+19003017928,2024-07-31 12:38:35,329,1,0,+1,11,0,1,0,12,0,0,1,legitimate
+666561280695,2024-06-11 05:56:07,3,4,1,+66,12,0,0,0,5,0,1,19,spam
+14156082733,2024-08-05 08:47:40,148,5,0,+1,11,0,0,0,8,0,0,1,legitimate
+16173548201,2024-10-30 11:56:19,605,3,0,+1,11,0,0,0,11,0,0,2,premium_rate
+12121385374,2024-10-12 20:39:40,264,1,0,+1,11,0,0,0,20,1,0,1,legitimate
+18666738949,2024-08-21 12:19:22,5,24,0,+1,11,1,0,0,12,0,0,10,robocall
+13125105022,2024-07-13 20:29:26,456,2,0,+1,11,0,0,0,20,1,0,2,premium_rate
+16174756480,2024-05-20 22:32:42,477,3,0,+1,11,0,0,0,22,0,0,2,legitimate
+17135191144,2024-01-20 04:14:57,4,7,0,+1,11,0,0,0,4,1,0,11,robocall
+17021207531,2024-03-05 04:56:46,4,30,0,+1,11,0,0,0,4,0,0,5,robocall
+99859524171687,2024-06-03 15:35:10,7,16,1,+99,14,0,0,0,15,0,1,20,spam
+18001212267,2024-08-03 15:06:27,400,4,0,+1,11,1,0,0,15,1,0,2,legitimate
+748773651,2024-09-27 17:17:49,11,6,1,+74,9,0,0,0,17,0,1,19,spam
+15032160289,2024-07-28 21:31:08,340,2,0,+1,11,0,0,0,21,1,0,1,legitimate
+17868241266,2024-01-16 02:19:17,7,5,0,+1,11,0,0,0,2,0,0,1,voip_fraud
+13051522452,2024-03-14 19:43:50,478,1,0,+1,11,0,0,0,19,0,0,0,legitimate
+916498577427,2024-04-17 10:36:35,6,4,1,+91,12,0,0,0,10,0,1,14,spam
+17024231751,2024-07-09 18:42:41,553,5,0,+1,11,0,0,0,18,0,0,0,legitimate
+10123456789,2024-11-18 11:24:19,2,2,0,+1,11,0,0,1,11,0,1,10,spoofed
+19768318752,2024-11-01 02:29:06,510,2,0,+1,11,0,1,0,2,0,0,2,premium_rate
+18772807534,2024-10-19 12:55:35,0,23,0,+1,11,1,0,0,12,1,0,11,robocall
+10123456789,2024-07-24 11:21:33,3,6,0,+1,11,0,0,1,11,0,1,3,spoofed
+12121832926,2024-09-20 21:17:37,1766,2,0,+1,11,0,0,0,21,0,0,0,premium_rate
+18723286979,2024-09-04 19:50:01,0,14,0,+1,11,0,0,0,19,0,0,2,voip_fraud
+18771211902,2024-08-26 23:32:37,343,4,0,+1,11,1,0,0,23,0,0,1,legitimate
+18667456994,2024-07-24 08:30:25,0,40,0,+1,11,1,0,0,8,0,0,11,robocall
+13463324579,2024-09-25 02:40:58,7,4,0,+1,11,0,0,0,2,0,0,0,voip_fraud
+15036963830,2024-03-13 18:50:55,6,24,0,+1,11,0,0,0,18,0,0,11,robocall
+12124229524,2024-04-12 21:31:39,0,50,0,+1,11,0,0,0,21,0,0,5,robocall
+12009997863,2024-11-27 23:44:47,2,9,0,+1,11,0,0,0,23,0,1,0,spoofed
+72019268,2024-07-23 01:54:07,9,10,1,+72,8,0,0,0,1,0,1,16,spam
+10123456789,2024-06-07 07:04:53,2,1,0,+1,11,0,0,1,7,0,1,3,spoofed
+19003972390,2024-07-24 01:14:05,7,22,0,+1,11,0,1,0,1,0,0,17,robocall
+17026603722,2024-09-24 21:52:56,526,1,0,+1,11,0,0,0,21,0,0,0,legitimate
+14044381812,2024-06-02 21:33:34,265,2,0,+1,11,0,0,0,21,1,0,1,legitimate
+17881111111,2024-03-10 06:50:20,5,3,0,+1,11,0,0,1,6,1,1,8,spoofed
+14154983170,2024-12-02 23:46:33,0,39,0,+1,11,0,0,0,23,0,0,6,robocall
+19762126310,2024-02-16 02:05:27,128,3,0,+1,11,0,1,0,2,0,0,0,legitimate
+12480000000,2024-08-16 02:02:24,5,1,0,+1,11,0,0,1,2,0,1,3,spoofed
+18007741049,2024-10-28 01:31:55,53,3,0,+1,11,1,0,0,1,0,0,1,legitimate
+23410014996,2024-03-01 03:48:53,15,18,1,+23,11,0,0,0,3,0,1,14,spam
+19761976564,2024-09-19 15:13:02,0,14,0,+1,11,0,1,0,15,0,0,2,robocall
+17026566909,2024-08-13 17:58:45,6,33,0,+1,11,0,0,0,17,0,0,3,robocall
+12123840983,2024-01-06 06:40:23,501,1,0,+1,11,0,0,0,6,1,0,2,legitimate
+18771331289,2024-07-20 17:52:34,572,4,0,+1,11,1,0,0,17,1,0,0,legitimate
+19764358435,2024-03-03 04:54:04,492,2,0,+1,11,0,1,0,4,1,0,2,legitimate
+12123844417,2024-03-29 19:59:43,1437,1,0,+1,11,0,0,0,19,0,0,1,premium_rate
+7816940324,2024-03-13 05:07:27,13,11,1,+78,10,0,0,0,5,0,1,11,spam
+18663018458,2024-12-13 18:37:40,516,1,0,+1,11,1,0,0,18,0,0,1,legitimate
+6647871819383,2024-06-06 15:42:57,9,26,1,+66,13,0,0,0,15,0,1,1,spam
+13055171241,2024-01-23 08:20:35,553,1,0,+1,11,0,0,0,8,0,0,1,legitimate
+13052692137,2024-03-06 03:49:55,5,45,0,+1,11,0,0,0,3,0,0,2,robocall
+15034494099,2024-10-29 16:48:33,96,5,0,+1,11,0,0,0,16,0,0,1,legitimate
+12025262432,2024-09-09 13:57:11,138,2,0,+1,11,0,0,0,13,0,0,2,legitimate
+66261068965,2024-06-26 23:13:08,8,27,1,+66,11,0,0,0,23,0,1,8,spam
+16695421280,2024-10-08 17:55:58,7,12,0,+1,11,0,0,0,17,0,0,0,voip_fraud
+16281922613,2024-05-31 08:06:59,6,4,0,+1,11,0,0,0,8,0,0,1,voip_fraud
+11234567890,2024-07-30 05:22:56,1,1,0,+1,11,0,0,1,5,0,1,7,spoofed
+12127381734,2024-09-01 00:22:19,429,4,0,+1,11,0,0,0,0,1,0,2,legitimate
+13127028119,2024-07-25 17:49:10,3,23,0,+1,11,0,0,0,17,0,0,5,robocall
+17627837506,2024-04-26 19:47:39,8,16,0,+1,11,0,0,0,19,0,0,1,voip_fraud
+13125880671,2024-01-22 14:14:30,3,8,0,+1,11,0,0,0,14,0,0,16,robocall
+18669105355,2024-11-29 01:07:25,5,29,0,+1,11,1,0,0,1,0,0,5,robocall
+18888988681,2024-02-19 14:46:44,493,3,0,+1,11,1,0,0,14,0,0,0,legitimate
+18669989406,2024-04-11 01:07:28,1072,2,0,+1,11,1,0,0,1,0,0,0,premium_rate
+6609592439815,2024-09-26 20:32:15,4,7,1,+66,13,0,0,0,20,0,1,11,spam
+3800413677,2024-09-04 12:31:38,7,28,1,+38,10,1,0,0,12,0,1,18,spam
+14046814062,2024-05-16 23:16:54,0,34,0,+1,11,0,0,0,23,0,0,2,robocall
+17621386010,2024-05-30 21:19:49,7,11,0,+1,11,0,0,0,21,0,0,0,voip_fraud
+18774476712,2024-06-04 07:59:48,121,5,0,+1,11,1,0,0,7,0,0,0,legitimate
+10123456789,2024-12-26 02:20:10,5,9,0,+1,11,0,0,1,2,0,1,0,spoofed
+17139330609,2024-03-17 07:33:24,7,22,0,+1,11,0,0,0,7,1,0,4,robocall
+18664078418,2024-05-22 14:15:55,107,4,0,+1,11,1,0,0,14,0,0,2,legitimate
+12009999258,2024-11-13 12:07:44,2,2,0,+1,11,0,0,1,12,0,1,20,spoofed
+19762954191,2024-04-02 14:38:52,479,1,0,+1,11,0,1,0,14,0,0,0,legitimate
+17023472192,2024-03-21 22:48:59,0,45,0,+1,11,0,0,0,22,0,0,1,robocall
+11234567890,2024-01-10 01:41:51,5,8,0,+1,11,0,0,1,1,0,1,20,spoofed
+19004037815,2024-07-15 01:10:36,206,3,0,+1,11,0,1,0,1,0,0,1,legitimate
+18777870250,2024-08-01 01:46:55,1786,3,0,+1,11,1,0,0,1,0,0,1,premium_rate
+16174906349,2024-01-27 03:26:21,513,1,0,+1,11,0,0,0,3,1,0,2,legitimate
+12024495431,2024-01-03 10:21:30,64,5,0,+1,11,0,0,0,10,0,0,0,legitimate
+13327331790,2024-03-29 16:59:01,1,15,0,+1,11,0,0,0,16,0,0,2,voip_fraud
+18887177606,2024-03-27 16:45:59,5,43,0,+1,11,1,0,0,16,0,0,19,robocall
+13052267666,2024-05-15 20:42:10,360,2,0,+1,11,0,0,0,20,0,0,1,legitimate
+18883150894,2024-12-21 18:31:52,47,1,0,+1,11,1,0,0,18,1,0,0,legitimate
